state,month,day
Alabama,March,1
Alaska,March,1
American_Samoa,March,8
Arkansas,March,1
Arizona,March,22
California,June,7
Colorado,March,1
Connecticut,April,26
Delaware,April,26
District_of_Columbia,June,14
Florida,March,15
Georgia,March,1
Guam,March,12
Hawaii,March,8
Idaho,March,8
Illinois,March,15
Indiana,May,3
Iowa,February,1
Kentucky,March,5
Kansas,March,5
Louisiana,March,5
Maine,March,5
Maryland,April,26
Massachusetts,March,1
Michigan,March,8
Minnesota,March,1
Mississippi,March,8
Missouri,March,15
Montana,June,7
Nebraska,May,10
Nevada,February,23
New_Hampshire,February,9
New_Jersey,June,7
New_Mexico,June,7
New_York,April,19
North_Carolina,March,15
North_Dakota,March,1
Northern_Marianas,March,15
Ohio,March,15
Oklahoma,March,1
Oregon,May,17
Pennsylvania,April,26
Puerto_Rico,March,13
Rhode_Island,April,26
South_Carolina,February,20
South_Dakota,June,7
Tennessee,March,1
Texas,March,1
Utah,March,22
Vermont,March,1
Virgin_Islands,March,12
Virginia,March,1
Washington,May,24
West_Virginia,May,10
Wisconsin,April,5
Wyoming,March,1
